address=0xACe000065089B799517997CA41B0e99d18e5A039,amount=38788.5918266571,hash=326b9eb4b7ad7db5dc708f414120864cfff15cd25aae8ba5aee61b6d7f3671a7
address=0xbec24297e08Cced6d5cf0324F70FA0376B7bA6d0,amount=16608.5065951495,hash=efc035f120b56e0cfc0e5c00eefbeeddb795fe5a8524880e16e5cb8b2b05611d
address=0x2AF0789A537080b0779EA99a46dB292cD9a583ee,amount=20451.1166333333,hash=d7746ce605c8e4e170fe63c96a8214fcad74a13b823fd60ad3c8eca56bacea5b
address=0xCfCBa91d84CAeE5f21cEebB154F0800BB895762E,amount=38246.6097762445,hash=75d09e3939ab327da7be071bbe7f20f12c5bde09e53cfe4407bd782da991d665
address=0x3A567303B207c6D906A8FCc380a2c307EcE7051D,amount=36488.746839045,hash=500cb49f36782f454dded69a51dc3b26af6d876b35cfa2bca2a224b6cab7e085
address=0xB4584AD30aE221f440Ece4682fbaa6FaA0665198,amount=38244.8438984757,hash=03c758ec9f282b42f6cbb3af303657f0758ef596a93bebcf3f1320342fdf9019
address=0x5a794972B9Fd764D38B2008a309Ad5a9358b217E,amount=16584.9260223486,hash=52ff73644e3aa898b27cbed0a403e406cbcf70a3d81e7c38b67ddd285dae1aa1
address=0xbF113877D4a337633d717eAF455ea2a404707E28,amount=38320.6294572946,hash=62b282a0d2b0b1b53c0ae35f5d7a0df053d64c5bd4621c6b67b92f6430022ceb
address=0x53EAa452b67a62Ba708E4Cd906775964e21Fe849,amount=32971.8198157509,hash=06e4a025553fc4dcda186570da661b250e9536dbdb608510027f3910ef792f27
address=0xB3a3F671FBE02d33f150A8dc1c25684a8A4766EA,amount=38244.8438984757,hash=4ed67669fb9b5bad3d86cbf1090195d4bb2c7430a6b14f49268620815556b2dd
address=0xE6699a87E63b8357e7D3Af79beC90e20aD9516Af,amount=33265.0565327345,hash=aa3ee05ad230a5c7ae250287d79f9a9e81a5030b38de0bc7bcdf1620ae3d4d05
address=0xb424704c8b5048c3b8a81f930d98da63e4eaace0,amount=36841.8456550345,hash=2189e7c1ba224c4073eba7840869bb348bfa56ee198bcde56bb6d0c1dc3336b0
